                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.42387,                0.41894,                0.93073,                0.97235,                      1,                  0.995,                0.69854,                0.96583,                0.74109,                 1.5997,              0.0003962,              0.0003962,              0.0003962
                     83,                0.43005,                0.41471,                0.95886,                0.97235,                      1,                  0.995,                0.69854,                0.96583,                0.74109,                 1.5997,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42856,                0.41681,                 1.0028,                 0.9605,                      1,                  0.995,                0.71026,                0.97529,                0.65041,                 1.6034,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42472,                0.42971,                0.97039,                 0.9605,                      1,                  0.995,                0.71026,                0.97529,                0.65041,                 1.6034,              0.0003368,              0.0003368,              0.0003368
                     86,                0.41415,                0.43781,                0.98616,                0.97816,                      1,                  0.995,                0.71449,                0.93176,                0.64713,                 1.5475,               0.000317,               0.000317,               0.000317
                     87,                0.45412,                0.43187,                 1.0181,                0.97816,                      1,                  0.995,                0.71449,                0.93176,                0.64713,                 1.5475,              0.0002972,              0.0002972,              0.0002972
                     88,                0.42599,                 0.5131,                  1.055,                0.97748,                      1,                  0.995,                0.78262,                 0.8318,                0.54014,                 1.4453,              0.0002774,              0.0002774,              0.0002774
                     89,                0.39105,                 0.3585,                0.94314,                0.97748,                      1,                  0.995,                0.78262,                 0.8318,                0.54014,                 1.4453,              0.0002576,              0.0002576,              0.0002576
                     90,                0.38833,                0.37361,                0.96912,                0.99184,                      1,                  0.995,                0.75641,                   0.81,                 0.5007,                 1.4242,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.2824,                0.39015,                0.87635,                0.99184,                      1,                  0.995,                0.75641,                   0.81,                 0.5007,                 1.4242,               0.000218,               0.000218,               0.000218
                     92,                0.31194,                0.45941,                0.95402,                 0.9914,                      1,                  0.995,                0.78188,                0.80909,                0.47907,                 1.4101,              0.0001982,              0.0001982,              0.0001982
                     93,                0.30762,                0.34554,                 0.8284,                 0.9914,                      1,                  0.995,                0.78188,                0.80909,                0.47907,                 1.4101,              0.0001784,              0.0001784,              0.0001784
                     94,                0.34222,                0.39117,                0.88696,                0.99136,                      1,                  0.995,                0.78919,                0.81331,                0.44246,                 1.4133,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.3517,                0.35896,                0.83622,                0.99136,                      1,                  0.995,                0.78919,                0.81331,                0.44246,                 1.4133,              0.0001388,              0.0001388,              0.0001388
                     96,                0.31263,                0.41146,                0.88416,                0.99171,                      1,                  0.995,                0.78903,                0.79394,                0.44587,                 1.4028,               0.000119,               0.000119,               0.000119
                     97,                0.26401,                0.31203,                 0.8915,                0.99171,                      1,                  0.995,                0.78903,                0.79394,                0.44587,                 1.4028,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.30076,                0.31545,                 0.8679,                0.99199,                      1,                  0.995,                0.79623,                0.80406,                0.42545,                 1.4077,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.32497,                 0.3415,                0.92718,                0.99199,                      1,                  0.995,                0.79623,                0.80406,                0.42545,                 1.4077,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.29657,                0.40151,                0.86944,                0.99245,                      1,                  0.995,                0.80285,                0.80934,                0.43724,                 1.4233,               3.98e-05,               3.98e-05,               3.98e-05
